month,category,budget_amount,actual_amount
2024-07,revenue,312755.34,299331.07
2024-07,coffee_cost,95384.27,95057.76
2024-07,packaging_cost,30005.06,29765.38
2024-07,labor,18256.61,18770.2
2024-07,shipping,54047.67,57715.67
2024-07,marketing,8425.88,8623.77
2024-07,overhead,16125.64,16185.66
2024-08,revenue,295553.42,288010.12
2024-08,coffee_cost,97225.87,97577.32
2024-08,packaging_cost,28988.15,28941.51
2024-08,labor,19430.5,19273.85
2024-08,shipping,51354.96,52412.42
2024-08,marketing,9610.78,9411.27
2024-08,overhead,14906.74,14766.04
2024-09,revenue,298765.27,289222.21
2024-09,coffee_cost,93814.1,96817.69
2024-09,packaging_cost,29279.79,29231.17
2024-09,labor,18734.71,18808.2
2024-09,shipping,49720.43,54239.74
2024-09,marketing,12089.68,12239.76
2024-09,overhead,16370.26,16408.94
2024-10,revenue,295268.41,279536.53
2024-10,coffee_cost,84122.16,86521.69
2024-10,packaging_cost,27807.08,27436.47
2024-10,labor,17531.03,17344.55
2024-10,shipping,41925.27,61517.79
2024-10,marketing,10412.72,10924.04
2024-10,overhead,15388.29,15633.29
2024-11,revenue,258457.86,248942.45
2024-11,coffee_cost,75845.15,79612.16
2024-11,packaging_cost,24357.98,24804.16
2024-11,labor,15469.39,15359.7
2024-11,shipping,42054.79,58268.29
2024-11,marketing,12844.54,12733.28
2024-11,overhead,12464.56,12415.29
2024-12,revenue,316343.84,304092.6
2024-12,coffee_cost,93086.3,96173.71
2024-12,packaging_cost,28863.95,29125.63
2024-12,labor,18774.41,18628.6
2024-12,shipping,44442.74,60611.08
2024-12,marketing,9190.04,8786.95
2024-12,overhead,16963.08,17133.72
